"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"28/03","Allemagne","Frank Leicht","out","E Francfort","Germany",NA,NA,"youth coach"
"01/07","Pays-Bas","Mark Flekken","in","Duisburg",NA,"Freiburg","Germany","800 k€"
"01/07","Allemagne","Jerôme Gondorf","in","Werder",NA,"Freiburg","Germany","1.3 M€"
"01/07","Allemagne","D.  Heintz","in","FC Köln",NA,"Freiburg","Germany","3 M€"
"01/07","Autriche","P.  Lienhart","in","Castilla B","Spain","Freiburg","Germany","2.5 M€"
"01/07","Allemagne","L.  Waldschmidt","in","HSV",NA,"Freiburg","Germany","5 M€"
"23/07","Australie","B.  Borrello","in","Kaiserslautern",NA,"Freiburg","Germany","Free"
"31/08","Hongrie","Roland Sallai","in","APOEL","Cyprus","Freiburg","Germany","4.5 M€"
"06/01","Italie","Vincenzo Grifo","in","Hoffenheim",NA,"Freiburg","Germany","Loan"
"01/06","Pologne","B.  Kapustka","out","Freiburg","Germany","Leicester","England","Return from loan"
"30/06","Autriche","P.  Lienhart","out","Freiburg","Germany","Castilla B","Spain","Return from loan"
"01/07","France","G.  Bussmann","out","Freiburg","Germany","Mainz",NA,"Return from loan"
"01/07","Allemagne","J.  Föhrenbach","out","Freiburg","Germany","Regensburg",NA,"Loan"
"01/07","Pologne","Rafal Gikiewicz","out","Freiburg","Germany","Union",NA,""
"01/07","Slovaquie","Karim Guédé","out","Freiburg","Germany","Sandhausen",NA,""
"01/07","Serbie","A.  Ignjovski","out","Freiburg","Germany","Magdeburg",NA,""
"01/07","Allemagne","M.-O. Kempf","out","Freiburg","Germany","Stuttgart",NA,""
"14/07","Suisse","Vincent Sierro","out","Freiburg","Germany","St. Gallen","Switzerland","Loan"
"19/07","Allemagne","G.  Niedermeier","out","Freiburg","Germany","Melbourne V","Australia",""
"27/07","Allemagne","Patric Klandt","out","Freiburg","Germany","FC Nürnberg",NA,"Free"
"29/07","Allemagne","Jonas Meffert","out","Freiburg","Germany","Holstein Kiel",NA,""
